Ticket_ID,Call_Date,Call_Time,Resolution_Date,Agent_Name,Department,Issue_Type,Priority,Status,Channel,Region,Handle_Time_Minutes,Wait_Time_Seconds,First_Call_Resolution,SLA_Met,Satisfaction_Score,OS_Type,Shift,Escalated,Reopen_Count,Cost_Per_Ticket_USD,Agent_Experience_Yrs
TKT-0870,2024-11-02,07:03:38,02/11/2024,alice johnson,Operations,Email Problem,CRITICAL,Escalated,Email,South,,3410,NO,Yes,10.0,Windows 11,morning,yes,2.0,64.7,3.0
TKT-0412,2024/03/01,05:58 PM,2024-03-03,Irene Taylor,Admin,System Crash,Medium,Resolve,Chat,,42.0,2310,YES,,99.0,MacOS,Morning,,3.0,197.62,6.0
TKT-0615,2024/10/21,08:56:24 AM,10-23-2024,Irene  Taylor,Sales,Password Reset,High,Open,Phone,South,69.0,1408,Yes,Y,-1.0,linux,AFTERNOON,yes,,187.89,-2.0
TKT-0908,2024-06-07,04:11,08-Jun-2024,BOB SMITH,Legal,VPN Access,High,resolved,phone,South,96.0,2887,yes,N,5.0,WINDOWS 11,morning,no,2.0,174.26,2.0
TKT-0913,2024/08/14,20:42,2024/08/16,alice johnson,Marketing,Password Reset,High,In progress,Walk In,,121.0,1598,Yes,N,4.0,linux,Afternoon,Yes,0.0,154.17,3.0
TKT-0997,30/07/2024,12:52 AM,01-Aug-2024,henry moore,Sales,network issue,Medium,Resolved,Walk In,East,132.0,1403,no,Y,0.0,windows 10,Night Shift,no,0.0,44.15,8.0
TKT-0963,2024-09-09,13:14:13,2024/09/10,Frank Miller,Sales,System Crash,CRITICAL,In Progress,Walk-in,South,35.0,622,YES,yes,,MacOS,Night Shift,No,2.0,11.64,0.0
TKT-0701,21-Feb-2024,06:11:10 PM,2024/02/21,Grace Wilson,IT,Printer Issue,Low,closed,chat,East,156.0,1484,,no,4.0,Linux,Night Shift,No,-1.0,51.17,0.0
,20/09/2024,12:36:44 AM,2024/09/21,alice johnson,Admin,VPN Access,Low,escalated,self-service portal,West,116.0,2646,no,Yes,,linux,AFTERNOON,yes,0.0,41.65,9.0
TKT-0307,27-Jun-2024,10:35:41 PM,06-28-2024,Grace Wilson ,Marketing,Hardware failure,Critical,Closed,Chat,Central,121.0,3062,,no,,Linux,Night Shift,Yes,,115.59,6.0
TKT-0498,12/01/2024,15:50,14/01/2024,EMILY DAVIS,Finance,vpn access,High,OPEN,chat,West,,1765,no,N,2.0,Linux,morning,yes,0.0,110.12,8.0
TKT-0494,18/05/2024,00:57:31,05-20-2024,,HR,Email problem,Low,OPEN,EMAIL,West,115.0,2462,yes,no,3.0,macOS,AFTERNOON,,2.0,,4.0
TKT-0424,01-14-2024,20:27,15-Jan-2024,James Anderson,Marketing,password reset,Mediun,closed,Phone,North,103.0,739,yes,Y,1.0,linux,Morning,no,,107.31,
TKT-0299,05-22-2024,02:02:34 PM,22-May-2024,Irene  Taylor,Legal,Software Installation,Mediun,OPEN,Phone,Central,,606,NO,No,,windows 10,morning,No,2.0,15.48,7.0
TKT-0468,03-02-2024,21:15,02-Mar-2024,,,Email Problem,Critical,Closed,Email,,61.0,1033,NO,Yes,2.0,Windows 10,Night Shift,yes,-1.0,172.26,3.0
TKT-0885,2024-04-07,11:04:15 PM,04-09-2024,Bob Smith,Admin,System Crash,Medium,Open,Walk In,North,62.0,1902,Yes,yes,,Windows 10,Night Shift,,0.0,163.84,-2.0
TKT-0756,2024-08-26,17:49,27-Aug-2024,Henry Moore,Legal,Email problem,High,Open,self-service portal,North,86.0,1553,yes,no,5.0,Windows 10 ,Night,No,0.0,36.22,2.0
TKT-0107,09/05/2024,06:29 AM,11/05/2024,Grace Wilson ,HR,SOFTWARE INSTALLATION,Hign,Resolve,self-service portal,Central,161.0,1636,YES,Yes,1.0,Windows 10 ,Night,no,3.0,145.65,
TKT-0859,07-Oct-2024,03:02 PM,2024-10-09,EMILY DAVIS,IT,Software Installation,Critical,closed,self-service portal,Central,114.0,1878,no,Y,,WINDOWS 11,Afternoon,,,133.83,1.0
TKT-0056,2024/03/01,04:06,2024/03/02,Grace Wilson,,Hardware failure,Hign,Resolved,Phone,Central,88.0,2294,yes,,3.0,Windows 10,Afternoon,no,2.0,8.24,6.0
TKT-0121,14/08/2024,07:58:40,08-15-2024,,HR,Account Locked,CRITICAL,In Progress,Email,,152.0,99999,NO,Y,,macOS,Afternoon,,2.0,116.67,6.0
TKT-0311,02-Oct-2024,00:59:44,02/10/2024,James Anderson,Admin,Hardware Failure,HIGH,resolved,self-service portal,,68.0,3225,Yes,Yes,1.0,WINDOWS 11,Night,no,2.0,147.52,4.0
TKT-0026,28-Jan-2024,06:33:23,30/01/2024,Irene Taylor,Admin,Email Problem,HIGH,In progress,chat,,162.0,1820,,Yes,4.0,Windows 11,Morning,yes,2.0,99.09,8.0
TKT-0073,2024-07-01,05:24 PM,01-Jul-2024,JAMES ANDERSON,Admin,Account Locked,Critical,Open,Email,Central,176.0,2409,NO,no,2.0,Windows 10 ,Afternoon,,,22.48,9.0
TKT-0531,2024-12-22,09:17:01 AM,2024/12/25,frank miller,Finance,Hardware Failure,Hign,In Progress,Self-Service Portal,South,108.0,1656,,Yes,99.0,linux,AFTERNOON,yes,0.0,127.19,5.0
TKT-0045,2024-09-14,04:26:10 PM,,frank miller,,SOFTWARE INSTALLATION,Hign,Open,Walk In,East,156.0,576,,yes,1.0,Windows 11,Night,No,,78.11,1.0
TKT-0276,2024-05-16,01:58:46,,Frank Miller,Operations,Email problem,medium,In progress,Walk In,North,65.0,2787,YES,no,99.0,Windows 10 ,Night,No,0.0,,5.0
TKT-0479,2024/01/02,09:16:56 PM,2024/01/03,BOB SMITH,HR,Data Recovery,Hign,In Progress,EMAIL,,98.0,1424,NO,yes,2.0,WINDOWS 11,AFTERNOON,no,0.0,51.88,10.0
TKT-0315,2024-12-27,19:18,2024/12/27,frank miller,HR,Account Locked,Critical,In Progress,phone,West,,768,YES,N,-1.0,Windows 11,Afternoon,No,-1.0,164.69,10.0
TKT-0337,15/09/2024,02:58:23 AM,,Henry Moore,Finance,Email Problem,Hign,Escalated,EMAIL,West,156.0,953,no,,,macOS,AFTERNOON,yes,-1.0,29.65,1.0
TKT-0690,11-05-2024,02:35:50,2024-11-06,Carol White,Sales,Network Issue,medium,In progress,Self-Service Portal,East,132.0,15,yes,yes,10.0,Windows 10 ,Night Shift,yes,0.0,197.02,-2.0
TKT-0431,2024-05-09,04:21:59,2024/05/10,Frank Miller,HR,Software Installation,medium,escalated,Chat,East,167.0,1921,no,,0.0,windows 10,AFTERNOON,,0.0,138.38,-2.0
TKT-0951,02-10-2024,11:28,02-12-2024,Carol  White,Legal,Hardware Failure,Medium,OPEN,Walk In,East,30.0,2904,yes,N,,WINDOWS 11,Morning,yes,0.0,102.65,4.0
TKT-0834,02-26-2024,16:13,27-Feb-2024,Grace Wilson ,Marketing,password reset,low,escalated,Self-Service Portal,South,97.0,868,Yes,no,0.0,WINDOWS 11,morning,Yes,1.0,44.13,8.0
TKT-0589,22-Mar-2024,06:12,2024-03-24,,Admin,Password Reset,Low,resolved,EMAIL,West,41.0,2564,,No,,Windows 11,Afternoon,No,-1.0,72.74,99.0
TKT-0704,01-18-2024,12:25:59,19-Jan-2024,Grace Wilson,Sales,SOFTWARE INSTALLATION,High,Escalated,EMAIL,North,124.0,125,,no,1.0,Windows 10,Night,no,-1.0,76.53,3.0
TKT-0328,31/01/2024,04:13:35,2024-02-01,Irene  Taylor,Operations,Software Installation,medium,Open,EMAIL,Central,171.0,265,No,no,2.0,Windows 11,AFTERNOON,,,148.9,9.0
TKT-0926,2024/07/21,23:36:49,07-23-2024,,,password reset,medium,In progress,Email,West,99.0,2195,Yes,N,,MacOS,Night,No,2.0,136.4,8.0
TKT-0604,2024-09-30,12:48:10 PM,01-Oct-2024,EMILY DAVIS,IT,Printer Issue,HIGH,closed,Walk In,Central,149.0,3407,,No,,macOS,Night,no,,199.42,2.0
TKT-0928,05-04-2024,11:52 AM,2024/05/06,EMILY DAVIS,Admin,Printer Issue,HIGH,escalated,Phone,Central,32.0,99999,NO,No,1.0,Windows 10,Afternoon,Yes,0.0,171.5,-2.0
TKT-0981,26/05/2024,15:08,28/05/2024,Grace Wilson ,Sales,password reset,Mediun,Resolved,Chat,West,33.0,1932,yes,N,10.0,WINDOWS 11,Afternoon,,,13.96,7.0
TKT-0972,03-25-2024,08:59:14 AM,03-26-2024,,HR,password reset,Low,Open,Chat,South,61.0,1477,,Y,,Windows 11,Night Shift,no,,58.86,7.0
,2024/07/21,06:26 AM,22/07/2024,david brown ,Legal,Printer Issue,High,Open,Email,West,173.0,585,,,,macOS,Afternoon,,,,-2.0
TKT-0332,04-04-2024,09:27:34 PM,2024/04/04,Alice Johnson,,password reset,HIGH,closed,Walk-in,East,171.0,1259,Yes,Y,,Windows 10,Night,No,,198.56,4.0
TKT-0061,2024-11-24,05:33:31 PM,24/11/2024,alice johnson,IT,VPN Access,CRITICAL,Resolve,Self-Service Portal,West,131.0,1927,yes,No,2.0,macOS,Morning,yes,1.0,,7.0
TKT-0746,2024/12/24,04:28 PM,2024/12/24,david brown ,IT,Software Installation,HIGH,Open,chat,East,3.0,24,NO,,,macOS,AFTERNOON,Yes,2.0,173.93,9.0
TKT-0372,03-16-2024,19:18,18-Mar-2024,Irene  Taylor,IT,Account Locked,Low,closed,Phone,Central,67.0,2618,No,Yes,4.0,Windows 10 ,Night,no,0.0,79.08,
TKT-0093,01-Oct-2024,11:49 AM,2024-10-03,Carol White,IT,VPN Access,HIGH,closed,Phone,North,80.0,1907,,,2.0,Linux,Night,Yes,0.0,196.6,3.0
TKT-0723,15-Feb-2024,10:35:23 AM,16-Feb-2024,Frank Miller,IT,Account Locked,Medium,OPEN,phone,,166.0,680,,,4.0,Windows 11,AFTERNOON,Yes,3.0,116.6,9.0
TKT-0491,11-28-2024,07:57:33,28-Nov-2024,Alice Johnson,Legal,SOFTWARE INSTALLATION,low,Resolve,Email,East,170.0,2308,,Yes,,macOS,Night Shift,no,0.0,47.24,9.0
TKT-0463,26/04/2024,21:59:58,2024/04/28,,Finance,Printer Issue,High,Resolved,chat,Central,-5.0,3167,no,no,,Linux,Morning,No,-1.0,199.25,0.0
TKT-0219,07/06/2024,09:38 PM,2024/06/08,,,vpn access,CRITICAL,OPEN,chat,North,172.0,403,,yes,0.0,Windows 10 ,AFTERNOON,yes,-1.0,181.91,8.0
TKT-0514,2024-09-22,16:32,2024-09-25,Grace Wilson ,Marketing,SOFTWARE INSTALLATION,Low,Escalated,Walk In,South,114.0,1440,,,,WINDOWS 11,Morning,No,0.0,,3.0
TKT-0621,07-13-2024,09:15:25,13-Jul-2024,frank miller,Finance,vpn access,Low,In progress,Phone,North,170.0,558,,Y,4.0,macOS,AFTERNOON,Yes,-1.0,68.05,4.0
TKT-0426,01-19-2024,06:14,01-21-2024,BOB SMITH,Admin,VPN Access,low,Escalated,Chat,North,3.0,1441,NO,Yes,-1.0,linux,Morning,no,,26.98,7.0
TKT-0333,08-Mar-2024,00:17:51,09-Mar-2024,alice johnson,HR,Hardware failure,High,closed,Self-Service Portal,East,23.0,1033,,Y,5.0,windows 10,Night,no,1.0,118.02,2.0
TKT-0860,27/07/2024,17:57:41,07-27-2024,,IT,Software Installation,Low,Escalated,self-service portal,South,75.0,836,,No,4.0,Linux,Night,yes,-1.0,81.4,-2.0
TKT-0990,2024/09/25,06:51 AM,27/09/2024,Irene Taylor,,Password Reset,CRITICAL,Resolved,Walk-in,South,120.0,1278,,no,99.0,WINDOWS 11,morning,Yes,1.0,103.17,99.0
TKT-0583,11-21-2024,18:41,11-21-2024,,Sales,Software Installation,medium,closed,chat,West,147.0,2860,no,No,,Windows 10,Afternoon,no,1.0,69.43,5.0
TKT-0356,2024-03-27,12:13:40 AM,03-28-2024,Grace Wilson,Marketing,Email Problem,HIGH,Resolved,EMAIL,,119.0,342,NO,No,5.0,Windows 10 ,Afternoon,,-1.0,138.97,3.0
TKT-0483,2024-12-18,10:02:18,18/12/2024,BOB SMITH,Operations,Printer Issue,Hign,Closed,self-service portal,Central,76.0,988,No,No,4.0,windows 10,Night Shift,Yes,1.0,31.27,
TKT-0546,2024-07-08,18:27,2024/07/09,Carol  White,HR,Password Reset,Mediun,Escalated,Chat,Central,118.0,3466,Yes,Y,99.0,Windows 10,Morning,yes,0.0,157.87,6.0
TKT-0111,01-24-2024,09:18:29,2024-01-26,alice johnson,Finance,vpn access,medium,Escalated,Chat,,154.0,2156,yes,no,10.0,WINDOWS 11,Morning,Yes,0.0,86.27,7.0
TKT-0515,25/11/2024,18:10:49,2024-11-26,frank miller,Admin,Data Recovery,Hign,Escalated,Phone,West,171.0,108,Yes,yes,,Linux,Morning,no,0.0,,10.0
TKT-0603,10-24-2024,05:00:40 AM,2024-10-26,Henry Moore,IT,Hardware Failure,Mediun,In Progress,chat,,135.0,421,,N,5.0,MacOS,morning,no,,190.9,7.0
TKT-0996,2024-06-05,07:43,2024/06/05,Irene  Taylor,Finance,Email problem,Low,Closed,phone,West,95.0,2094,,no,10.0,MacOS,Morning,no,1.0,40.66,99.0
TKT-0508,2024/03/08,08:56:52 PM,08/03/2024,Alice Johnson,Legal,password reset,medium,In progress,Phone,West,85.0,3567,yes,Yes,4.0,linux,Afternoon,no,2.0,34.19,1.0
TKT-0335,27/02/2024,16:04:15,28/02/2024,Carol White,Marketing,network issue,HIGH,In Progress,Phone,Central,85.0,2346,yes,,,windows 10,AFTERNOON,,3.0,78.87,10.0
TKT-0849,23-Sep-2024,03:51,2024/09/25,Carol White,Sales,Printer Issue,low,In progress,Walk-in,West,172.0,3491,,N,,linux,Morning,Yes,2.0,31.24,1.0
TKT-0295,16/10/2024,01:36:50,18-Oct-2024,Alice Johnson,Admin,SOFTWARE INSTALLATION,HIGH,OPEN,Walk In,Central,13.0,206,yes,Yes,5.0,Linux,Night,Yes,2.0,138.06,2.0
TKT-0287,21-Jul-2024,04:28:14 AM,2024/07/23,Frank Miller,IT,Email problem,Low,In Progress,Walk-in,,96.0,617,no,Yes,99.0,MacOS,Night Shift,Yes,0.0,9.04,99.0
TKT-0939,2024-10-31,10:13:03,2024-10-31,Irene  Taylor,Finance,Password Reset,Medium,Escalated,Walk In,East,34.0,2952,Yes,No,4.0,MacOS,Morning,No,1.0,168.35,4.0
TKT-0448,31/12/2024,07:10:40 AM,2024-12-31,EMILY DAVIS,Operations,vpn access,low,escalated,Walk In,North,19.0,1555,No,Yes,5.0,WINDOWS 11,AFTERNOON,,3.0,27.53,7.0
TKT-0693,18-Nov-2024,09:55 AM,11-18-2024,Carol  White,Operations,Hardware failure,Medium,Open,phone,Central,25.0,827,NO,,10.0,linux,Night,no,0.0,190.63,6.0
,08-31-2024,07:03:26 PM,08-31-2024,Henry Moore,HR,VPN Access,High,resolved,phone,East,69.0,2127,YES,no,-1.0,Linux,Night,No,3.0,16.27,8.0
TKT-0969,28-Mar-2024,23:13,30-Mar-2024,Carol White,,network issue,low,Resolved,Email,Central,117.0,1107,YES,,-1.0,Windows 11,Morning,No,-1.0,124.74,
TKT-0278,27-Jan-2024,01:31:24 PM,,henry moore,HR,Network Issue,HIGH,Closed,chat,Central,97.0,473,yes,N,10.0,Windows 10 ,Night,no,3.0,25.9,6.0
TKT-0759,01/10/2024,10:16:06 PM,03/10/2024,,Marketing,password reset,Mediun,Open,phone,North,170.0,2278,,,99.0,Linux,AFTERNOON,No,-1.0,59.53,6.0
TKT-0138,04-Jan-2024,17:02:54,06-Jan-2024,Irene Taylor,Marketing,vpn access,Low,escalated,Self-Service Portal,,97.0,2552,yes,,-1.0,WINDOWS 11,Afternoon,Yes,0.0,78.99,2.0
TKT-0502,03/07/2024,12:24 PM,2024/07/04,David Brown,Sales,VPN Access,HIGH,escalated,Chat,West,177.0,1880,YES,Yes,1.0,windows 10,Night,No,1.0,180.8,10.0
TKT-0405,2024/04/07,15:16,2024/04/07,Emily Davis,Sales,System Crash,Medium,Resolve,Email,North,162.0,2846,no,Yes,99.0,Windows 11,Afternoon,Yes,,177.39,2.0
TKT-0524,03-02-2024,13:24:38,04-Mar-2024,Emily Davis,HR,Printer Issue,CRITICAL,Closed,Phone,North,76.0,428,no,no,2.0,MacOS,morning,yes,0.0,170.38,
TKT-0781,2024/01/03,10:38:11 PM,2024-01-04,Grace Wilson ,Admin,Email problem,Hign,In progress,phone,East,71.0,2444,,N,10.0,MacOS,Morning,No,0.0,130.41,6.0
TKT-0978,18-Mar-2024,07:07:50,19-Mar-2024,Grace Wilson ,Sales,Network Issue,High,closed,EMAIL,North,171.0,1406,,no,,Windows 11,AFTERNOON,,0.0,150.69,-2.0
TKT-0581,07-14-2024,10:19:12 AM,,,HR,VPN Access,Critical,Open,Chat,North,133.0,2762,NO,,-1.0,Windows 10,Afternoon,No,,95.53,5.0
TKT-0238,15-Aug-2024,12:14 AM,2024/08/15,Carol White,IT,Account Locked,Critical,Escalated,chat,North,73.0,2797,NO,yes,4.0,windows 10,Morning,,0.0,29.85,10.0
TKT-0989,08-31-2024,16:25,31-Aug-2024,frank miller,HR,Data Recovery,Critical,In progress,EMAIL,East,,1510,YES,Y,3.0,Linux,AFTERNOON,no,1.0,196.21,0.0
TKT-0216,23-May-2024,11:23:59 PM,25-May-2024,Grace Wilson ,HR,password reset,low,In Progress,phone,West,74.0,1088,YES,,5.0,MacOS,Afternoon,yes,-1.0,26.94,0.0
TKT-0895,2024/02/26,09:49 PM,26/02/2024,david brown ,,Hardware Failure,Mediun,In progress,Walk-in,East,23.0,99999,,no,2.0,linux,Night,no,0.0,138.89,0.0
,12/12/2024,04:24:41,2024/12/12,BOB SMITH,Operations,SOFTWARE INSTALLATION,Low,escalated,self-service portal,Central,88.0,871,yes,no,4.0,WINDOWS 11,Night Shift,yes,0.0,15.39,-2.0
TKT-0553,2024/08/15,08:45:03,2024-08-17,Carol White,Finance,SOFTWARE INSTALLATION,low,In Progress,Walk-in,North,94.0,1849,YES,yes,,macOS,Night Shift,no,,,
TKT-0838,05-05-2024,06:09:57 PM,07/05/2024,Carol  White,,Email Problem,CRITICAL,In Progress,Phone,East,12.0,2529,no,no,5.0,windows 10,Night Shift,Yes,0.0,176.5,6.0
TKT-0864,12-26-2024,08:48 PM,2024/12/26,,Admin,Hardware failure,HIGH,escalated,chat,East,127.0,1488,yes,yes,5.0,macOS,Night Shift,yes,0.0,49.81,0.0
TKT-0668,29/01/2024,03:27:55 PM,2024/01/29,BOB SMITH,Sales,Password Reset,High,closed,phone,East,102.0,1162,No,N,,Linux,morning,Yes,,188.04,0.0
TKT-0622,06-20-2024,17:55,2024/06/21,David Brown,Operations,Software Installation,Critical,Resolve,Walk In,Central,106.0,3402,yes,Yes,,linux,Morning,yes,1.0,117.19,10.0
TKT-0079,02/02/2024,18:06,02-04-2024,,Finance,Data Recovery,CRITICAL,escalated,phone,South,49.0,1508,yes,No,99.0,WINDOWS 11,AFTERNOON,yes,0.0,86.56,3.0
TKT-0030,11-22-2024,08:29:16,22-Nov-2024,Carol White,Sales,Email problem,medium,closed,Self-Service Portal,North,121.0,1188,NO,Y,3.0,WINDOWS 11,Night Shift,,0.0,150.31,99.0
TKT-0451,26/10/2024,03:56 AM,28/10/2024,Irene  Taylor,Legal,Hardware Failure,Low,OPEN,phone,South,112.0,3137,YES,Yes,0.0,MacOS,Night Shift,no,2.0,46.07,2.0
TKT-0290,15/11/2024,09:22 AM,11-15-2024,Carol White,Marketing,Password Reset,Low,Resolve,Chat,West,71.0,2054,,yes,5.0,windows 10,Afternoon,no,-1.0,85.72,-2.0
TKT-0050,2024/08/12,01:08:04,08-13-2024,Bob Smith,Admin,Email Problem,CRITICAL,resolved,phone,South,167.0,1510,yes,no,-1.0,MacOS,Morning,,2.0,199.73,4.0
TKT-0671,03-11-2024,13:35:36,2024-03-11,Grace Wilson ,Operations,network issue,HIGH,Open,Phone,West,73.0,2828,no,No,4.0,Windows 10,AFTERNOON,,0.0,88.33,5.0
TKT-0799,16-Dec-2024,09:11 AM,,David Brown,Sales,Hardware failure,Hign,OPEN,Walk-in,Central,97.0,770,yes,Y,10.0,WINDOWS 11,Night,No,-1.0,184.5,4.0
TKT-0803,2024/12/23,01:07:48,2024-12-24,david brown ,Sales,vpn access,medium,Escalated,Chat,,166.0,3382,Yes,no,2.0,Windows 11,morning,,0.0,136.15,10.0
TKT-0166,22/06/2024,21:30,06-24-2024,EMILY DAVIS,Legal,password reset,CRITICAL,OPEN,Phone,,,2654,No,no,3.0,linux,Night,,0.0,80.97,10.0
TKT-0931,23/12/2024,06:13 PM,2024-12-25,Emily Davis,Admin,Data Recovery,Hign,Closed,Self-Service Portal,North,65.0,2123,YES,,2.0,MacOS,AFTERNOON,no,3.0,106.1,99.0
TKT-0179,2024-12-02,06:38,02-Dec-2024,,Legal,VPN Access,Medium,In Progress,Self-Service Portal,East,32.0,363,,Y,3.0,Windows 10 ,morning,Yes,2.0,56.61,8.0
,30-Dec-2024,08:18 AM,2024/12/30,Grace Wilson,Legal,Hardware Failure,CRITICAL,Open,Self-Service Portal,North,138.0,2790,NO,,3.0,WINDOWS 11,Night Shift,yes,1.0,31.88,7.0
TKT-0066,05-May-2024,11:02:25 PM,,Emily Davis,Marketing,Account Locked,Critical,closed,phone,,61.0,2220,No,,1.0,windows 10,Afternoon,no,3.0,84.61,5.0
TKT-0142,04-17-2024,05:25,17-Apr-2024,Carol  White,,Hardware Failure,Medium,Closed,self-service portal,East,18.0,1948,YES,Yes,10.0,macOS,Morning,,-1.0,189.95,9.0
TKT-0986,2024/10/12,05:35:01 AM,,Henry Moore,IT,VPN Access,Hign,In progress,Chat,North,13.0,1032,,yes,,Windows 10,Night,no,3.0,138.38,99.0
TKT-0352,11/03/2024,04:51:28 PM,13-Mar-2024,David Brown,Sales,System Crash,Hign,OPEN,EMAIL,,172.0,1942,yes,yes,0.0,WINDOWS 11,Night Shift,Yes,,39.71,99.0
TKT-0862,06-03-2024,04:23:21 AM,03/06/2024,Grace Wilson ,IT,Email problem,Hign,OPEN,Phone,Central,124.0,2292,,no,0.0,macOS,Morning,no,-1.0,177.68,8.0
TKT-0441,2024-10-04,05:20:13 PM,06-Oct-2024,Henry Moore,HR,Printer Issue,Mediun,Resolve,phone,North,150.0,2140,No,Yes,5.0,macOS,Night Shift,No,2.0,93.68,9.0
TKT-0347,2024-07-27,17:17:30,28/07/2024,,Admin,Hardware failure,medium,escalated,Email,Central,138.0,2085,No,no,1.0,MacOS,Afternoon,No,0.0,125.22,8.0
TKT-0255,2024-01-15,12:21:52 AM,2024-01-16,Frank Miller,Legal,VPN Access,High,OPEN,Walk In,South,176.0,2750,Yes,No,2.0,Windows 11,Night,no,1.0,,99.0
TKT-0695,2024-02-07,11:34:19 PM,2024-02-07,EMILY DAVIS,,Password Reset,Critical,OPEN,Walk In,Central,-5.0,1541,no,,0.0,WINDOWS 11,Morning,Yes,0.0,119.4,10.0
TKT-0345,2024-06-19,11:49:49 AM,2024-06-21,BOB SMITH,IT,Printer Issue,Low,escalated,EMAIL,East,18.0,2692,Yes,Y,4.0,Linux,Night,yes,0.0,155.62,4.0
TKT-0222,01-09-2024,10:12:54 PM,,,HR,Printer Issue,Medium,Closed,chat,North,-5.0,1980,NO,No,4.0,macOS,morning,no,,148.73,10.0
TKT-0236,11/10/2024,14:02,13/10/2024,Bob Smith,,vpn access,HIGH,closed,Self-Service Portal,East,160.0,1194,NO,No,1.0,WINDOWS 11,Night,yes,2.0,143.01,5.0
TKT-0548,06-Jul-2024,08:58 AM,07-06-2024,frank miller,Legal,Software Installation,medium,OPEN,Walk In,East,-5.0,1429,NO,yes,,macOS,Morning,Yes,-1.0,166.32,5.0
TKT-0500,02-Nov-2024,10:44:16 PM,04/11/2024,alice johnson,,Hardware Failure,Medium,Closed,phone,,76.0,2665,No,yes,-1.0,MacOS,Night Shift,No,0.0,93.14,7.0
TKT-0596,2024/06/14,13:13:02,2024/06/14,Carol  White,Marketing,System Crash,low,Escalated,chat,North,153.0,1311,yes,,-1.0,macOS,Night Shift,No,1.0,48.49,9.0
TKT-0941,2024-08-14,03:19 AM,08-15-2024,BOB SMITH,Admin,VPN Access,medium,In Progress,phone,East,75.0,314,YES,No,-1.0,macOS,Morning,yes,3.0,161.75,1.0
TKT-0250,20/10/2024,12:24,2024-10-22,David Brown,Admin,password reset,Mediun,In progress,Self-Service Portal,North,18.0,2199,no,No,,Windows 11,Afternoon,yes,0.0,172.64,7.0
TKT-0923,11-Oct-2024,12:33:28 AM,11/10/2024,,Sales,vpn access,Medium,resolved,Chat,West,32.0,1940,Yes,N,0.0,Windows 10,morning,Yes,0.0,18.14,1.0
TKT-0382,21/10/2024,11:57,,Frank Miller,Admin,Network Issue,High,escalated,self-service portal,North,50.0,3176,No,No,5.0,Windows 10,Afternoon,no,0.0,150.07,0.0
TKT-0072,15-Oct-2024,09:02 PM,10-16-2024,Carol White,Legal,Account Locked,Low,closed,Walk-in,East,6.0,858,YES,No,,WINDOWS 11,Night Shift,Yes,2.0,92.86,4.0
TKT-0095,10-Nov-2024,19:39,2024/11/11,Carol White,Marketing,Data Recovery,low,In Progress,EMAIL,West,129.0,1697,YES,no,1.0,Linux,Night Shift,yes,0.0,,10.0
TKT-0034,2024-11-24,08:38 PM,,Grace Wilson,Operations,Hardware Failure,Hign,Escalated,self-service portal,Central,,1007,No,,-1.0,Linux,Afternoon,yes,0.0,15.22,0.0
TKT-0260,03/09/2024,02:21:08 AM,09-05-2024,Grace Wilson ,,SOFTWARE INSTALLATION,CRITICAL,OPEN,EMAIL,,52.0,643,No,,1.0,WINDOWS 11,Night Shift,no,3.0,131.93,7.0
TKT-0205,2024-10-29,12:39,30/10/2024,,HR,Email Problem,medium,resolved,self-service portal,Central,74.0,1322,Yes,Yes,-1.0,Windows 10,Night Shift,yes,0.0,173.36,10.0
TKT-0360,08-29-2024,21:24:53,31-Aug-2024,,Finance,Email Problem,low,resolved,Self-Service Portal,,64.0,3135,Yes,no,3.0,WINDOWS 11,AFTERNOON,No,0.0,13.63,5.0
TKT-0602,2024-02-25,12:04:12 AM,25-Feb-2024,Henry Moore,Admin,Email Problem,Medium,Resolve,Walk In,West,171.0,2081,,,4.0,linux,Night Shift,Yes,0.0,127.68,6.0
TKT-0399,30-Dec-2024,11:37 AM,30/12/2024,Grace Wilson,Finance,System Crash,Mediun,In Progress,Chat,East,159.0,270,YES,no,3.0,Windows 10,Night Shift,yes,0.0,176.42,8.0
TKT-0078,19/08/2024,10:04:19 AM,19-Aug-2024,Frank Miller,HR,System Crash,Hign,In Progress,Walk In,,31.0,102,,yes,2.0,macOS,Night,No,1.0,142.23,-2.0
,01/01/2024,06:30 AM,,Alice Johnson,HR,Password Reset,medium,Open,EMAIL,Central,153.0,936,YES,N,99.0,macOS,morning,No,-1.0,46.55,0.0
TKT-0320,30-Dec-2024,11:29:22 AM,2025-01-01,henry moore,HR,Password Reset,low,Open,Chat,East,121.0,1732,no,,1.0,Windows 10 ,Afternoon,Yes,3.0,165.28,10.0
TKT-0083,2024/07/20,03:09:36 PM,21-Jul-2024,,Operations,Hardware failure,Hign,Closed,phone,West,162.0,1706,no,no,2.0,MacOS,morning,yes,3.0,70.86,10.0
TKT-0948,2024/09/09,03:47 AM,10/09/2024,Irene  Taylor,Operations,vpn access,Medium,Closed,Phone,West,135.0,3363,Yes,,1.0,linux,morning,yes,0.0,101.11,3.0
TKT-0708,09-26-2024,08:34:41 PM,,Carol White,Marketing,Hardware failure,Hign,Resolved,EMAIL,Central,16.0,1360,NO,Y,5.0,Windows 11,Night Shift,no,-1.0,115.64,-2.0
